11,12,13,15,17,18,19,10,21,22,3,33,37,38,39,4,6,7,8,9,date,x,y,user
-100.0,-76.0,-71.0,-100.0,-66.0,-79.0,-100.0,-74.0,-100.0,-85.0,-80.0,-100.0,-87.0,-100.0,-100.0,-62.0,-85.0,-68.0,-62.0,-73.0,2019-09-25-184837,0.0,5.0,1.0
-80.0,-76.0,-71.0,-100.0,-68.0,-100.0,-100.0,-76.0,-100.0,-100.0,-86.0,-69.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-86.0,2019-09-25-184847,0.0,5.0,1.0
-79.0,-82.0,-73.0,-100.0,-70.0,-85.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-73.0,-66.0,-100.0,2019-09-25-184859,0.0,6.0,1.0
-82.0,-69.0,-100.0,-100.0,-66.0,-86.0,-100.0,-69.0,-86.0,-100.0,-74.0,-100.0,-80.0,-100.0,-81.0,-60.0,-86.0,-69.0,-62.0,-80.0,2019-09-25-184944,0.0,6.0,1.0
-84.0,-68.0,-100.0,-100.0,-70.0,-76.0,-100.0,-77.0,-100.0,-100.0,-100.0,-78.0,-82.0,-100.0,-100.0,-67.0,-100.0,-71.0,-67.0,-75.0,2019-09-25-185000,0.0,6.0,1.0
-100.0,-82.0,-100.0,-100.0,-59.0,-100.0,-100.0,-72.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-80.0,-72.0,-87.0,2019-09-25-185008,0.0,6.0,1.0
-100.0,-84.0,-74.0,-100.0,-59.0,-100.0,-100.0,-78.0,-100.0,-84.0,-81.0,-76.0,-88.0,-87.0,-82.0,-76.0,-100.0,-78.0,-56.0,-83.0,2019-09-25-185018,0.0,7.0,1.0
-80.0,-75.0,-100.0,-100.0,-65.0,-83.0,-100.0,-79.0,-87.0,-80.0,-74.0,-100.0,-74.0,-100.0,-100.0,-61.0,-84.0,-67.0,-71.0,-100.0,2019-09-25-185108,0.0,7.0,1.0
-100.0,-78.0,-100.0,-100.0,-65.0,-79.0,-100.0,-100.0,-100.0,-87.0,-78.0,-100.0,-100.0,-100.0,-88.0,-63.0,-100.0,-68.0,-72.0,-84.0,2019-09-25-185117,0.0,7.0,1.0
-100.0,-85.0,-85.0,-100.0,-58.0,-100.0,-100.0,-80.0,-100.0,-86.0,-83.0,-75.0,-85.0,-87.0,-100.0,-100.0,-100.0,-83.0,-67.0,-86.0,2019-09-25-185127,0.0,7.0,1.0
-79.0,-74.0,-100.0,-100.0,-58.0,-86.0,-100.0,-74.0,-82.0,-78.0,-100.0,-100.0,-82.0,-87.0,-100.0,-64.0,-89.0,-81.0,-69.0,-82.0,2019-09-25-185137,0.0,8.0,1.0
-82.0,-76.0,-100.0,-100.0,-100.0,-86.0,-100.0,-77.0,-100.0,-87.0,-100.0,-100.0,-83.0,-100.0,-85.0,-51.0,-100.0,-71.0,-65.0,-100.0,2019-09-25-185226,0.0,8.0,1.0
